"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0.00322030903512856,0.50735866472849,0.533,0.345,1,"1","CUTA"
0.00323554851643849,0.587341608536405,0.333,0.176,1,"1","ANXA7"
0.00328230554252469,0.397872909693304,0.633,0.414,1,"1","LSM7"
0.00336922892767529,0.431406712188966,0.289,0.142,1,"1","APPL1"
0.00341344392049159,1.07220006613889,0.267,0.142,1,"1","ETS2"
0.00341476616830768,1.02017982256932,0.256,0.128,1,"1","HTATIP2"
0.00346220191090435,0.512070127611534,0.256,0.126,1,"1","ID3"
0.00346886536679282,0.456073846939611,0.633,0.447,1,"1","PCBP1"
0.00352677656602946,0.431565731259428,0.622,0.422,1,"1","UBXN1"
0.00352733478748414,0.653386796397307,0.4,0.238,1,"1","H2AFY"
0.00355991693307793,0.79678437840048,0.367,0.217,1,"1","GPR65"
0.00362810145938555,0.85763459120854,0.289,0.152,1,"1","LPXN"
0.00362851244473846,0.975747067260021,0.289,0.16,1,"1","TMEM70"
0.00363681494266853,0.44258639369044,0.478,0.278,1,"1","LAMP1"
0.00367619796194774,0.54294622913644,0.611,0.409,1,"1","PDCD4"
0.00368001267803299,0.273116000478806,0.756,0.497,1,"1","ARF1"
0.0036904785334308,0.479921560478379,0.633,0.447,1,"1","LRRFIP1"
0.00372302330052904,0.305502593867192,0.833,0.626,1,"1","CLIC1"
0.00372729236611957,0.406048159136266,0.378,0.211,1,"1","LAMTOR2"
0.00373320843069838,0.286885303968897,0.822,0.674,1,"1","EEF2"
0.00373751969514027,0.668878311299319,0.256,0.126,1,"1","DLEU2"
0.00374569922896717,0.344315537038627,0.889,0.767,1,"1","EIF4A1"
0.00374646955108251,0.551246998600675,0.311,0.16,1,"1","SMU1"
0.00375174364395163,0.611326709210824,0.322,0.163,1,"1","MAPRE2"
0.00376347316325646,0.551728420949303,0.589,0.388,1,"1","SYF2"
0.0037826310528861,0.350380687534796,0.689,0.468,1,"1","COPE"
0.00381726384952329,0.27432782662681,0.578,0.377,1,"1","SBDS"
0.00384955619139829,0.550490634649495,0.344,0.19,1,"1","NECAP2"
0.00386711003291889,0.282036418707867,0.5,0.294,1,"1","GHITM"
0.00387591716164509,0.437990617979683,0.5,0.302,1,"1","RWDD1"
0.00392931774072794,0.355515451155995,0.778,0.596,1,"1","SLC25A3"
0.00396353696085453,0.589008511442917,0.3,0.152,1,"1","DBNL"
0.00404877096555543,0.575245262717656,0.478,0.297,1,"1","MRPL41"
0.00409524043256545,0.58253146105885,0.356,0.193,1,"1","MECP2"
0.00410995324476643,0.706887452768619,0.3,0.16,1,"1","PIM2"
